time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1
6.11,-0.44,1.3,8.5,-0.16,0.01,0.31,8.610087107573303,19.996144964253244,-0.02352224049245665,0.06949752872771284,0.45440691860427623,-0.0009841888538377214,6.151180336485759e-05,0.0019068659043105852,-0.009730207872622734,0.028005170185264973,0.1903269144648455,-0.015151515151515152,0.0018726591760299626,0.12350597609561755
6.12,1.7550000000000003,1.52,10.87,-0.13,0.0199999999999999,0.32,11.115184433917413,19.823014909352356,0.09382166378241234,0.08125864897394117,0.5811062594386449,-0.0007996534437431487,0.00012302360672971456,0.001968377707675443,0.03881026094648386,0.03274450667815597,0.2433945364979848,-0.01231060606060606,0.0037453183520599065,0.12749003984063748
6.13,3.95,1.74,13.24,-0.1,0.03,0.33,13.925792616580214,19.831293470961672,0.21116556805728132,0.09301976922016948,0.7078056002730138,-0.0006151180336485759,0.00018453541009457277,0.0020298895110403004,0.08735072976559045,0.037483843171046964,0.29646215853112406,-0.00946969696969697,0.0056179775280898875,0.1314741035856574
6.14,3.95,1.74,13.24,-0.1,0.03,0.33,13.925792616580214,19.831293470961672,0.21116556805728132,0.09301976922016948,0.7078056002730138,-0.0006151180336485759,0.00018453541009457277,0.0020298895110403004,0.08735072976559045,0.037483843171046964,0.29646215853112406,-0.00946969696969697,0.0056179775280898875,0.1314741035856574
6.15,0.34,3.41,5.54,0.11,-0.07,0.25,6.514238251706796,16.154971520430905,0.01817627674417105,0.18229736381653905,0.2961663916550224,0.0006766298370134335,-0.0004305826235540032,0.0015377950841214396,0.0075187969924812035,0.07345971563981042,0.12404836542767578,0.010416666666666666,-0.013108614232209739,0.09960159362549802
6.16,1.27,-0.51,13.27,0.03,-0.0,0.25,13.340386051385469,14.426708654115968,0.06789373960322716,-0.027264415116256574,0.7094093893974994,0.00018453541009457277,-0.0,0.0015377950841214396,0.028084918177797437,-0.010986643688065489,0.2971339005821765,0.0028409090909090906,-0.0,0.09960159362549802
6.17,1.27,-0.51,13.27,0.03,0.0,0.25,13.340386051385469,14.426708654115968,0.06789373960322716,-0.027264415116256574,0.7094093893974994,0.00018453541009457277,0.0,0.0015377950841214396,0.028084918177797437,-0.010986643688065489,0.2971339005821765,0.0028409090909090906,0.0,0.09960159362549802
6.18,1.27,-0.51,13.27,0.03,-0.0,0.25,13.340386051385469,14.426708654115968,0.06789373960322716,-0.027264415116256574,0.7094093893974994,0.00018453541009457277,-0.0,0.0015377950841214396,0.028084918177797437,-0.010986643688065489,0.2971339005821765,0.0028409090909090906,-0.0,0.09960159362549802
6.19,0.35,1.06,9.2,0.05,-0.01,0.24,9.267475384375185,14.057913866242991,0.018710873118999608,0.05666721573182739,0.4918286648422754,0.00030755901682428795,-6.151180336485759e-05,0.0014762832807565822,0.007739938080495356,0.022834984920292976,0.20600089565606808,0.004734848484848485,-0.0018726591760299626,0.09561752988047809
6.2,0.35,1.06,9.2,0.05,-0.01,0.24,9.267475384375185,14.057913866242991,0.018710873118999608,0.05666721573182739,0.4918286648422754,0.00030755901682428795,-6.151180336485759e-05,0.0014762832807565822,0.007739938080495356,0.022834984920292976,0.20600089565606808,0.004734848484848485,-0.0018726591760299626,0.09561752988047809
6.21,1.435,1.3050000000000002,11.21,0.06,-0.04,0.2299999999999999,11.376570221292532,13.810541225298964,0.0767145797878984,0.06976482691512713,0.5992825361828161,0.00036907082018914554,-0.00024604721345943036,0.001414771477391724,0.03173374613003096,0.028112882378285225,0.25100761307657865,0.005681818181818181,-0.00749063670411985,0.09163346613545814
6.22,2.52,1.55,13.22,0.07,-0.07,0.22,13.547003358676783,13.822421262958365,0.13471828645679718,0.08286243809842685,0.7067364075233566,0.0004305826235540032,-0.0004305826235540032,0.001353259674026867,0.05572755417956657,0.033390779836277466,0.29601433049708914,0.006628787878787879,-0.013108614232209739,0.08764940239043825
6.23,2.49,-2.01,6.34,0.26,0.02,0.26,7.101816668993927,21.098543576787296,0.1331144973323115,-0.1074538713405406,0.3389341016413072,0.0015993068874862973,0.00012302360672971518,0.0015993068874862973,0.05506413091552411,-0.04330030159414045,0.141961486789073,0.02462121212121212,0.003745318352059925,0.10358565737051795
6.24,2.49,-2.01,6.34,0.26,0.02,0.26,7.101816668993927,21.098543576787296,0.1331144973323115,-0.1074538713405406,0.3389341016413072,0.0015993068874862973,0.00012302360672971518,0.0015993068874862973,0.05506413091552411,-0.04330030159414045,0.141961486789073,0.02462121212121212,0.003745318352059925,0.10358565737051795
6.25,-0.99,2.85,10.31,0.05,-0.11,0.3,10.742378693753075,18.530557039960467,-0.05292504110802747,0.15235996682613967,0.5511688624482457,0.00030755901682428795,-0.0006766298370134335,0.0018453541009457277,-0.02189296771340115,0.06139595002154244,0.23085535154500675,0.004734848484848485,-0.02059925093632959,0.11952191235059761
6.26,5.52,7.75,8.78,0.14,-0.21,0.29,12.9468644852721,22.02722811730372,0.29509719890536523,0.4143121904921342,0.4693756170994759,0.0008611652471080064,-0.0012917478706620093,0.00178384229758087,0.12206988058381246,0.16695389918138734,0.19659650694133451,0.013257575757575758,-0.03932584269662921,0.1155378486055777
6.27,5.52,7.75,8.78,0.14,-0.21,0.29,12.9468644852721,22.02722811730372,0.29509719890536523,0.4143121904921342,0.4693756170994759,0.0008611652471080064,-0.0012917478706620093,0.00178384229758087,0.12206988058381246,0.16695389918138734,0.19659650694133451,0.013257575757575758,-0.03932584269662921,0.1155378486055777
