time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1
12.574,-0.11,-4.95,6.62,-0.15,0.1,-0.08,8.266740591067316,11.300494104925537,-0.005470616997211058,-0.2461777648744976,0.32923167746852006,-0.00032634149898253694,0.0002175609993216913,-0.00017404879945735304,-0.003944065973467192,-0.07733166692704264,0.07430688068245594,-0.015608740894901146,0.004701457451810062,-0.030651340996168584
12.587,1.73,-1.91,9.8,-0.15,-0.05,-0.1,10.133163375767708,10.719058832304777,0.0860378855015921,-0.09498980422430109,0.48738224156971244,-0.00032634149898253694,-0.00010878049966084566,-0.0002175609993216913,0.06202940121907494,-0.029839087642555846,0.11000112246043327,-0.015608740894901146,-0.002350728725905031,-0.03831417624521073
12.599,1.73,-1.91,9.8,-0.15,-0.05,-0.1,10.133163375767708,10.719058832304777,0.0860378855015921,-0.09498980422430109,0.48738224156971244,-0.00032634149898253694,-0.00010878049966084566,-0.0002175609993216913,0.06202940121907494,-0.029839087642555846,0.11000112246043327,-0.015608740894901146,-0.002350728725905031,-0.03831417624521073
12.61,-0.71,-3.19,10.45,-0.02,0.09,-0.07,10.94909585308303,6.632465988616705,-0.035310346072907735,-0.15864789291912068,0.5197086147350505,-4.351219986433826e-05,0.00019580489938952217,-0.00015229269952518392,-0.025457153101470058,-0.049835963130760816,0.11729711527668649,-0.002081165452653486,0.0042313117066290545,-0.026819923371647514
12.621,-0.71,-3.19,10.45,-0.02,0.09,-0.07,10.94909585308303,6.632465988616705,-0.035310346072907735,-0.15864789291912068,0.5197086147350505,-4.351219986433826e-05,0.00019580489938952217,-0.00015229269952518392,-0.025457153101470058,-0.049835963130760816,0.11729711527668649,-0.002081165452653486,0.0042313117066290545,-0.026819923371647514
12.635,0.82,2.66,11.95,-0.11,-0.06,-0.08,12.269902200099231,8.51762997172685,0.04078096307011879,0.13228946556892196,0.5943079374242921,-0.00023931709925386043,-0.00013053659959301478,-0.00017404879945735304,0.02940121907493725,0.041556006873925945,0.1341340217757324,-0.011446409989594173,-0.0028208744710860366,-0.030651340996168584
12.647,0.83,3.68,11.32,-0.07,0.02,-0.07,11.93204508875155,5.786590081396797,0.04127829188804707,0.18301700499760631,0.5629762218948107,-0.00015229269952518392,4.351219986433826e-05,-0.00015229269952518392,0.02975977052707063,0.05749101702858928,0.1270625210461331,-0.007284079084287202,0.0009402914903620123,-0.026819923371647514
12.6579999999999,0.83,3.68,11.32,-0.07,0.02,-0.07,11.93204508875155,5.786590081396797,0.04127829188804707,0.18301700499760631,0.5629762218948107,-0.00015229269952518392,4.351219986433826e-05,-0.00015229269952518392,0.02975977052707063,0.05749101702858928,0.1270625210461331,-0.007284079084287202,0.0009402914903620123,-0.026819923371647514
12.669,0.24,6.14,7.71,-0.11,0.17,-0.06,9.859071964439655,12.10013071047267,0.011935891630278672,0.30535989420796267,0.38344051862270234,-0.00023931709925386043,0.00036985369884687524,-0.00013053659959301478,0.008605234851201148,0.09592251210748319,0.08654169940509597,-0.011446409989594173,0.007992477668077105,-0.022988505747126436
12.683,0.24,6.14,7.71,-0.11,0.17,-0.06,9.859071964439655,12.10013071047267,0.011935891630278672,0.30535989420796267,0.38344051862270234,-0.00023931709925386043,0.00036985369884687524,-0.00013053659959301478,0.008605234851201148,0.09592251210748319,0.08654169940509597,-0.011446409989594173,0.007992477668077105,-0.022988505747126436
